date,open,high,low,close,volume,average,barCount
2025-08-05 09:30:00,565.39,566.55,559.74,560.76,4730076,562.942,42687
2025-08-05 12:00:00,560.73,563.07,559.79,560.19,4068123,561.172,36791
2025-08-06 09:30:00,561.12,566.09,560.63,565.91,4461552,562.923,40350
2025-08-06 12:00:00,565.92,567.76,565.38,567.31,3128966,566.721,27001
2025-08-07 09:30:00,571.67,573.31,568.69,569.19,4994655,571.096,45906
2025-08-07 12:00:00,569.17,569.55,565.12,569.25,5304434,567.461,48669
2025-08-08 09:30:00,570.45,574.25,570.15,573.75,3487310,572.715,30870
2025-08-08 12:00:00,573.69,574.77,573.14,574.57,2835042,574.123,24270
2025-08-11 09:30:00,574.69,575.92,573.83,575.82,2834248,575.037,25889
2025-08-11 12:00:00,575.82,576.8,571.58,572.75,3526681,573.861,29514
2025-08-12 09:30:00,575.16,578.47,572.49,578.39,5111904,575.502,47514
2025-08-12 12:00:00,578.4,580.35,577.89,580.02,2667527,579.475,22171
2025-08-13 09:30:00,582.76,583.31,579.07,579.87,3996680,581.314,36558
2025-08-13 12:00:00,579.91,580.64,578.94,580.35,3188621,579.938,28534
2025-08-14 09:30:00,578.28,581.88,577.91,580.12,5451762,579.868,50347
2025-08-14 12:00:00,580.09,581.23,578.47,579.87,4366133,580.001,39657
2025-08-15 09:30:00,579.79,579.84,575.59,576.84,4146127,577.844,38330
2025-08-15 12:00:00,576.83,578.26,576.25,577.23,2926463,577.244,25717
2025-08-18 09:30:00,576.44,577.75,575.25,575.92,3495314,576.562,32402
2025-08-18 12:00:00,575.91,577.57,575.34,577.12,2524463,576.571,22819
2025-08-19 09:30:00,576.39,576.56,570.39,571.46,6691483,573.358,62153
2025-08-19 12:00:00,571.45,571.91,568.26,569.28,5161188,569.575,46177
2025-08-20 09:30:00,568.33,568.45,558.85,562.13,11143081,562.434,102962
2025-08-20 12:00:00,562.12,566.89,562.06,565.86,6740996,564.557,62619
2025-08-21 09:30:00,564.35,566.49,561.85,563.02,6299336,564.215,59167
2025-08-21 12:00:00,563.02,564.21,560.98,563.31,4125869,562.858,38004
2025-08-22 09:30:00,564.65,573.99,563.27,572.02,4481403,570.119,39426
2025-08-22 12:00:00,572.07,573.39,570.57,572.02,2232004,572.037,18550
2025-08-25 09:30:00,570.4,573.28,569.16,572.89,3641119,571.045,33851
2025-08-25 12:00:00,572.9,573.23,570.19,570.35,2524752,571.943,21443
2025-08-26 09:30:00,569.84,571.81,568.81,570.97,3229939,570.602,29894
2025-08-26 12:00:00,570.97,572.92,570.05,572.63,2749075,571.729,23322
2025-08-27 09:30:00,571.59,573.76,570.37,573.58,3280097,572.104,29762
2025-08-27 12:00:00,573.59,574.4,571.65,573.54,2636768,573.257,22899
2025-08-28 09:30:00,574.11,576.53,572.47,574.86,3439093,574.677,31994
