date,open,high,low,close,volume,average,barCount
2024-07-10 09:30:00,499.71,500.59,498.4,499.94,731533,499.575,4562
2024-07-10 12:00:00,499.93,503.51,499.83,502.97,1218659,502.261,7159
2024-07-11 09:30:00,503.07,503.28,493.03,493.13,2039512,497.887,13129
2024-07-11 12:00:00,493.14,494.57,490.73,491.9,2166552,492.646,13530
2024-07-12 09:30:00,492.48,497.82,492.04,496.12,1051345,495.365,6224
2024-07-12 12:00:00,496.05,499.62,494.1,494.84,1593833,496.9,9149
2024-07-15 09:30:00,496.61,501.01,495.92,498.75,991320,498.267,5950
2024-07-15 12:00:00,498.73,498.78,494.1,496.19,1464944,496.365,9616
2024-07-16 09:30:00,497.62,498.43,493.65,495.22,836529,495.597,5095
2024-07-16 12:00:00,495.25,496.68,493.17,496.39,981609,495.228,6662
2024-07-17 09:30:00,488.28,488.79,483.29,484.09,1891150,485.975,11539
2024-07-17 12:00:00,484.08,484.15,481.7,481.85,2435434,482.884,15841
2024-07-18 09:30:00,485.5,485.71,476.87,477.16,1970160,481.209,11283
2024-07-18 12:00:00,477.13,481.13,476.27,479.51,1956023,478.809,12095
2024-07-19 09:30:00,479.15,481.69,475.21,477.87,1488799,478.589,9476
2024-07-19 12:00:00,477.83,478.08,473.95,475.24,1578173,475.404,9799
2024-07-22 09:30:00,481.15,482.86,477.76,479.08,1834262,480.584,11846
2024-07-22 12:00:00,479.04,483.34,478.41,482.33,1299698,482.007,8518
2024-07-23 09:30:00,481.45,484.37,480.71,483.3,906297,482.692,5446
2024-07-23 12:00:00,483.17,483.4,480.16,480.62,807884,481.486,5801
2024-07-24 09:30:00,473.81,474.16,467.11,467.16,1741363,470.455,11416
2024-07-24 12:00:00,467.09,467.65,462.52,463.33,2994694,464.99,18676
2024-07-25 09:30:00,463.72,465.24,455.66,464.19,3318940,460.858,23268
2024-07-25 12:00:00,464.17,467.94,458.09,458.29,2451626,462.961,15442
2024-07-26 09:30:00,462.67,463.44,459.77,463.24,1944595,461.679,13485
2024-07-26 12:00:00,463.24,465.92,461.29,463.02,2092205,463.549,15523
2024-07-29 09:30:00,465.72,467.91,461.63,465.1,1315331,465.207,8597
2024-07-29 12:00:00,465.15,467.19,463.29,463.85,1223613,465.174,8343
2024-07-30 09:30:00,465.86,466.56,457.14,457.2,1251262,461.837,8009
2024-07-30 12:00:00,457.21,459.21,454.18,457.38,1574334,457.244,10131
2024-07-31 09:30:00,467.92,471.34,466.42,470.26,1874924,468.628,11585
2024-07-31 12:00:00,470.27,472.78,467.34,471.03,2415774,470.585,16108
2024-08-01 09:30:00,471.79,475.55,462.67,463.06,2419016,468.791,15936
2024-08-01 12:00:00,463.05,464.86,455.98,459.68,3605769,459.389,22929
