date,open,high,low,close,volume,average,barCount
2024-08-26 09:30:00,479.54,480.38,478.97,480.18,126447,479.61,755
2024-08-26 09:35:00,480.17,480.27,479.5,479.98,44154,479.968,268
2024-08-26 09:40:00,479.88,479.99,479.0,479.33,54260,479.397,323
2024-08-26 09:45:00,479.28,479.38,478.5,478.61,53594,478.795,359
2024-08-26 09:50:00,478.69,479.02,478.21,478.29,49016,478.656,305
2024-08-26 09:55:00,478.34,478.68,478.29,478.48,28375,478.514,222
2024-08-26 10:00:00,478.45,478.55,477.8,478.46,27539,478.267,192
2024-08-26 10:05:00,478.52,478.62,476.82,476.9,79917,477.405,422
2024-08-26 10:10:00,476.94,477.07,476.5,476.72,48424,476.75,294
2024-08-26 10:15:00,476.51,476.56,475.69,475.96,65851,476.17,334
2024-08-26 10:20:00,476.03,476.5,475.89,476.2,28236,476.294,156
2024-08-26 10:25:00,476.27,476.74,475.77,475.88,30246,476.281,194
2024-08-26 10:30:00,475.91,475.91,474.21,474.43,124585,474.951,507
2024-08-26 10:35:00,474.41,474.64,473.29,473.34,115038,473.828,492
2024-08-26 10:40:00,473.28,474.39,473.24,474.19,71584,473.983,350
2024-08-26 10:45:00,474.13,474.65,474.13,474.39,61613,474.459,308
2024-08-26 10:50:00,474.39,474.98,474.22,474.79,56415,474.728,279
2024-08-26 10:55:00,474.86,475.69,474.85,475.55,69152,475.228,292
2024-08-26 11:00:00,475.58,475.91,475.46,475.79,48443,475.695,236
2024-08-26 11:05:00,475.78,475.81,475.18,475.59,33399,475.462,210
2024-08-26 11:10:00,475.54,475.85,475.3,475.76,18293,475.631,99
2024-08-26 11:15:00,475.73,475.77,475.11,475.65,36977,475.365,209
2024-08-26 11:20:00,475.83,476.32,475.51,476.05,48713,476.079,267
2024-08-26 11:25:00,476.0,476.03,475.48,475.76,15047,475.733,79
2024-08-26 11:30:00,475.57,475.77,475.24,475.56,25761,475.507,164
2024-08-26 11:35:00,475.59,475.6,475.17,475.43,7076,475.379,65
2024-08-26 11:40:00,475.43,475.99,475.33,475.51,22491,475.687,129
2024-08-26 11:45:00,475.4,475.53,474.66,475.49,39765,475.157,237
2024-08-26 11:50:00,475.48,475.5,474.58,474.71,17098,474.955,131
2024-08-26 11:55:00,474.62,474.8,474.24,474.47,35634,474.505,228
2024-08-26 12:00:00,474.32,474.73,474.15,474.66,22537,474.432,129
2024-08-26 12:05:00,474.74,474.78,474.13,474.34,8532,474.404,57
2024-08-26 12:10:00,474.38,474.81,474.38,474.52,15864,474.632,109
2024-08-26 12:15:00,474.51,475.02,474.51,474.93,17985,474.829,128
2024-08-26 12:20:00,474.93,475.86,474.93,475.7,31271,475.443,152
2024-08-26 12:25:00,475.69,475.98,475.54,475.89,7083,475.818,47
2024-08-26 12:30:00,475.93,476.26,475.86,476.0,17423,476.062,102
2024-08-26 12:35:00,476.01,476.27,476.01,476.15,6009,476.17,37
2024-08-26 12:40:00,476.2,476.37,475.93,476.34,8853,476.217,45
2024-08-26 12:45:00,476.34,476.54,476.21,476.29,10383,476.375,60
2024-08-26 12:50:00,476.26,476.39,475.65,475.82,11578,476.011,67
2024-08-26 12:55:00,475.88,476.08,475.87,475.97,14182,475.984,66
2024-08-26 13:00:00,476.01,476.14,475.73,476.14,21505,475.927,108
2024-08-26 13:05:00,476.03,476.03,475.39,475.71,8993,475.582,61
2024-08-26 13:10:00,475.59,475.73,475.06,475.63,35405,475.414,174
2024-08-26 13:15:00,475.69,475.79,475.22,475.23,12020,475.434,81
2024-08-26 13:20:00,475.27,475.82,475.19,475.72,13399,475.543,81
2024-08-26 13:25:00,475.85,476.03,475.32,475.33,25013,475.691,147
2024-08-26 13:30:00,475.36,475.6,475.33,475.53,8849,475.513,49
2024-08-26 13:35:00,475.55,475.55,474.27,474.4,30504,474.906,232
2024-08-26 13:40:00,474.51,474.84,474.51,474.74,16265,474.637,84
2024-08-26 13:45:00,474.75,474.76,473.7,474.01,37435,474.027,229
2024-08-26 13:50:00,474.03,474.2,473.89,474.09,18195,474.033,101
2024-08-26 13:55:00,474.02,474.11,473.7,473.95,14336,473.891,103
2024-08-26 14:00:00,473.89,474.28,473.56,473.68,27395,473.933,197
2024-08-26 14:05:00,473.67,473.91,473.43,473.71,30512,473.709,189
2024-08-26 14:10:00,473.75,474.37,473.57,474.34,38858,473.969,221
2024-08-26 14:15:00,474.31,474.34,474.02,474.29,26800,474.232,132
2024-08-26 14:20:00,474.3,474.99,474.3,474.79,28419,474.747,224
2024-08-26 14:25:00,474.82,475.09,474.65,475.0,7631,474.928,54
2024-08-26 14:30:00,474.97,475.21,474.89,475.18,19120,475.064,128
2024-08-26 14:35:00,475.16,475.74,475.16,475.5,21751,475.509,144
2024-08-26 14:40:00,475.54,475.86,475.54,475.72,15072,475.759,100
2024-08-26 14:45:00,475.7,475.91,475.6,475.65,8623,475.734,57
2024-08-26 14:50:00,475.63,475.79,475.39,475.51,8479,475.577,64
2024-08-26 14:55:00,475.52,475.91,475.52,475.88,7974,475.777,59
2024-08-26 15:00:00,475.88,476.07,475.7,475.75,13427,475.907,83
2024-08-26 15:05:00,475.76,475.76,475.34,475.41,10337,475.491,61
2024-08-26 15:10:00,475.44,475.85,475.44,475.65,17029,475.614,99
2024-08-26 15:15:00,475.59,475.59,475.19,475.4,7849,475.402,45
2024-08-26 15:20:00,475.57,475.67,475.38,475.45,3807,475.509,31
2024-08-26 15:25:00,475.49,475.64,475.16,475.16,9879,475.381,56
2024-08-26 15:30:00,475.17,475.36,474.9,475.26,11433,475.196,81
2024-08-26 15:35:00,475.23,475.23,474.75,474.8,15074,474.959,99
2024-08-26 15:40:00,474.79,475.1,474.62,474.62,16081,474.894,124
2024-08-26 15:45:00,474.68,474.77,474.49,474.53,30684,474.615,181
2024-08-26 15:50:00,474.57,475.46,474.57,475.18,67962,475.018,473
2024-08-26 15:55:00,475.18,475.42,474.51,475.33,157320,475.001,880
2024-08-27 09:30:00,473.69,474.04,473.0,473.53,112462,473.611,777
2024-08-27 09:35:00,473.57,473.65,472.38,472.39,59749,472.979,309
2024-08-27 09:40:00,472.44,472.77,472.04,472.52,82622,472.384,456
2024-08-27 09:45:00,472.48,473.3,471.77,473.02,113448,472.527,607
2024-08-27 09:50:00,472.97,474.54,472.97,474.34,99581,473.961,622
2024-08-27 09:55:00,474.38,474.8,473.8,474.15,71357,474.22,322
2024-08-27 10:00:00,474.24,474.75,473.88,474.36,69397,474.392,393
2024-08-27 10:05:00,474.43,474.66,473.98,474.51,40839,474.412,285
2024-08-27 10:10:00,474.53,475.33,474.53,474.79,76713,475.05,456
2024-08-27 10:15:00,475.0,475.23,474.5,474.91,39914,474.883,279
2024-08-27 10:20:00,474.9,475.96,474.67,475.84,54163,475.359,379
2024-08-27 10:25:00,475.75,476.39,475.75,476.35,65757,476.125,480
2024-08-27 10:30:00,476.28,477.05,476.24,476.5,79439,476.674,535
2024-08-27 10:35:00,476.54,476.81,476.17,476.63,59076,476.541,408
2024-08-27 10:40:00,476.61,476.92,476.54,476.81,92730,476.744,724
2024-08-27 10:45:00,476.87,476.94,476.36,476.66,71999,476.657,560
2024-08-27 10:50:00,476.59,477.03,476.42,476.76,106307,476.759,854
2024-08-27 10:55:00,476.75,477.33,476.57,477.25,98187,476.909,878
2024-08-27 11:00:00,477.25,477.83,477.21,477.43,90571,477.546,755
2024-08-27 11:05:00,477.44,477.76,477.24,477.62,52832,477.528,482
2024-08-27 11:10:00,477.66,477.75,477.17,477.39,44512,477.489,347
2024-08-27 11:15:00,477.39,477.57,476.46,476.88,77040,477.101,633
2024-08-27 11:20:00,476.89,477.2,476.76,476.92,47679,476.965,317
2024-08-27 11:25:00,476.79,476.79,476.28,476.29,20153,476.541,105
2024-08-27 11:30:00,476.1,476.23,475.05,475.45,61960,475.726,250
2024-08-27 11:35:00,475.45,475.81,475.41,475.6,39882,475.636,208
2024-08-27 11:40:00,475.52,475.7,475.18,475.65,26989,475.475,133
2024-08-27 11:45:00,475.66,475.81,475.38,475.61,40004,475.677,201
2024-08-27 11:50:00,475.57,475.73,475.12,475.35,19559,475.507,105
2024-08-27 11:55:00,475.32,475.97,475.3,475.8,27642,475.753,118
2024-08-27 12:00:00,475.81,476.04,475.64,475.9,25069,475.828,152
